id,url,skills,input_url,warning,warning_code,error
sumathi-bommagani-13b609149,https://www.linkedin.com/in/sumathi-bommagani-13b609149,[],https://www.linkedin.com/in/sumathi-bommagani-13b609149,,,
matthewalhonte,https://www.linkedin.com/in/matthewalhonte,"[""More Python Tips, Tricks, and Techniques for Data Science"",""Machine Learning and AI Foundations: Value Estimations"",""Machine Learning with Scikit-Learn""]",https://www.linkedin.com/in/matthewalhonte,,,
charan-g,https://www.linkedin.com/in/charan-g,"[""Azure Spark Databricks Essential Training"",""Hands-On Data Science: 4 Services Analysis in Spark"",""Twelve Myths About Data Science""]",https://www.linkedin.com/in/charan-g,,,
sunny-mehta-641753217,https://www.linkedin.com/in/mehtablocker,"[""Docker for Data Scientists"",""R Essential Training Part 2: Modeling Data"",""Hands-On Data Science: 1 Analyzing Employee Data with SQL""]",https://www.linkedin.com/in/sunny-mehta-641753217,,,
theodoredyer,https://www.linkedin.com/in/theodoredyer,"[""Python for Engineers and Scientists"",""Azure Spark Databricks Essential Training"",""Hands-On Data Science: 3 Sales Analysis in Python""]",https://www.linkedin.com/in/theodoredyer,,,
shivakeerthan,https://www.linkedin.com/in/shivakeerthan,"[""AWS Certified Machine Learning - Specialty (MLS-C01) Cert Prep: 1 Data Engineering"",""Advanced NLP with Python for Machine Learning"",""AWS Certified Data Analytics – Specialty (DAS-C01) Cert Prep: 4 Analysis and Visualization""]",https://www.linkedin.com/in/shivakeerthan,,,
khirian-wingfield-062893109,https://www.linkedin.com/in/khirian-wingfield2007,"[""Microsoft 365 Business Essential Training for SMBs"",""Tech on the Go: Owning Legacy Software"",""IT Help Desk for Beginners""]",https://www.linkedin.com/in/khirian-wingfield-062893109,,,
benjaminmlewis,https://www.linkedin.com/in/benjaminmlewis,"[""Avoiding Legal Hot Spots: Five Legal Tips for Social Media Managers"",""Understanding Patents: A Deeper Dive"",""Understanding Intellectual Property""]",https://www.linkedin.com/in/benjaminmlewis,,,
yrnimmala,https://www.linkedin.com/in/yrnimmala,"[""Creating Your First Spring Boot Microservice"",""Hands-On Data Science: 2 Sales Dashboard with Tableau"",""Python for Data Visualization""]",https://www.linkedin.com/in/yrnimmala,,,
shawn-dolan-20a2404,https://www.linkedin.com/in/shawn-dolan,"[""Business Analysis for Project Managers"",""SQL Server 2022 Administration"",""Databases for Node.js Developers""]",https://www.linkedin.com/in/shawn-dolan-20a2404?_l=en_us,,,
henry-drescher,https://www.linkedin.com/in/henry-drescher,"[""Python for Data Engineering: from Beginner to Advanced"",""NumPy Essential Training: 2 MatPlotlib and Linear Algebra Capabilities"",""Machine Learning with Scikit-Learn""]",https://www.linkedin.com/in/henry-drescher,,,
tonia-yglesias-59276b85,https://www.linkedin.com/in/tonia-yglesias-59276b85,"[""Oracle Cloud Data Management Foundations Workshop"",""Oracle APEX: Foundations"",""SQL Server: Security, Encryption, and Masking""]",https://www.linkedin.com/in/tonia-yglesias-59276b85,,,
terry-mayfield-ms-data-superpower,https://www.linkedin.com/in/terry-mayfield-ms-data-superpower,"[""Power BI: Working Together with ChatGPT"",""Analyzing Big Data with Hive"",""Learning Hadoop""]",https://www.linkedin.com/in/terry-mayfield-ms-data-superpower,,,
yoga-reddy-84b96a15,https://www.linkedin.com/in/yoga-reddy-84b96a15,"[""Stream Processing Design Patterns with Spark"",""Analyzing Big Data with Hive"",""Hadoop for Data Science Tips, Tricks, & Techniques""]",https://www.linkedin.com/in/yoga-reddy-84b96a15,,,
frantz-straughan-207839162,https://www.linkedin.com/in/frantz-straughan-207839162,"[""Virtual Meetings for Non-Native English Speakers"",""Leading a Customer-Centric Culture"",""Customer Service: Serving Customers Through Chat and Text""]",https://www.linkedin.com/in/frantz-straughan-207839162,,,
aish-shah,https://www.linkedin.com/in/aish-shah,"[""Hands-On Data Science using SQL, Tableau, Python, and Spark"",""NLP with Tidytext R"",""Introduction to Business Analytics""]",https://www.linkedin.com/in/aish-shah,,,
matteo-ascherio-victoria-83bb88178,https://www.linkedin.com/in/matteo-ascherio-victoria-83bb88178,"[""SAS® 9.4 Cert Prep: Part 01 SAS Programming Essentials"",""Cleaning, Transforming and Prepping Your Data With Tableau Prep"",""LinkedIn Learning Highlights: Data Science and Analytics""]",https://www.linkedin.com/in/matteo-ascherio-victoria-83bb88178,,,
jpcenteno,https://www.linkedin.com/in/jpcenteno,"[""Artificial Intelligence for Students"",""Machine Learning and AI Foundations: Value Estimations"",""Machine Learning and AI Foundations: Recommendations""]",https://www.linkedin.com/in/jpcenteno,,,
justin-clementz-849750139,https://www.linkedin.com/in/justin-clementz-849750139,"[""Microsoft SQL Server 2016: Query Data"",""Designing Database Solutions for SQL Server 2016"",""SQL Server: Reporting Services""]",https://www.linkedin.com/in/justin-clementz-849750139,,,
diane-crane-b6a5017a,https://www.linkedin.com/in/diane-crane-b6a5017a,"[""Implementing the Metaverse"",""Inside Sales: Managing Sales Rep Personas"",""Inside Sales""]",https://www.linkedin.com/in/diane-crane-b6a5017a,,,
richardbielawski,https://www.linkedin.com/in/richardbielawski,"[""SQL Server: Reporting Services"",""Google Cloud Professional Cloud Architect Cert Prep: 4 Analyzing and Optimizing Technical and Business Processes"",""Implementing a Data Warehouse SQL Server 2019""]",https://www.linkedin.com/in/richardbielawski,,,
ethan-mcclenney,https://www.linkedin.com/in/ethan-mcclenney,"[""Tableau Beyond the Basics: Growing Your Analytics and Business Intelligence Toolkit"",""Power BI Top Skills"",""Hands-On Data Science using SQL, Tableau, Python, and Spark""]",https://www.linkedin.com/in/ethan-mcclenney,,,
robertsulier,https://www.linkedin.com/in/robertsulier,"[""AWS Certified Cloud Practitioner (CLF-C02) Cert Prep: 3 Cloud Technology and Services"",""AWS: Deployment, Provisioning, and Automation"",""AWS Certified Database – Specialty (DBS-C01) Cert Prep: 3 Migration and Management""]",https://www.linkedin.com/in/robertsulier,,,
max-lundeen-78b1a6b1,https://www.linkedin.com/in/max-lundeen-78b1a6b1,"[""AI Projects with Python, TensorFlow, and NLTK"",""Machine Learning with Scikit-Learn"",""Faster pandas""]",https://www.linkedin.com/in/max-lundeen-78b1a6b1,,,
gary-cohen-4248815,https://www.linkedin.com/in/gary-cohen-4248815,"[""Hiring a Chief Data Officer"",""Power BI Dataflows Essential Training"",""Azure Data Fundamentals (DP-900) Cert Prep: 4 Analytics Workloads on Azure""]",https://www.linkedin.com/in/gary-cohen-4248815,,,
sanjana-p-629919273,https://www.linkedin.com/in/sanjana-p-sp,"[""Data Engineering Foundations"",""Hands-On Data Science: 4 Services Analysis in Spark"",""Databricks Certified Data Engineer Associate Cert Prep: 2 ELT with Spark SQL and Python""]",https://www.linkedin.com/in/sanjana-p-629919273,,,
jamie-poole-a6190012,https://www.linkedin.com/in/jamie-poole-a6190012,"[""Oracle Database 12c: Advanced SQL"",""Controlling CSS with JavaScript"",""Oracle Autonomous Database Administration Workshop""]",https://www.linkedin.com/in/jamie-poole-a6190012,,,
barry-doyle-3013124,https://www.linkedin.com/in/barry-doyle-3013124,"[""Power BI: Working Together with ChatGPT"",""Introduction to Transact-SQL"",""Power BI Dataflows Essential Training""]",https://www.linkedin.com/in/barry-doyle-3013124,,,
mark-hartley-5b002714,https://www.linkedin.com/in/hartleydb,"[""Oracle Database 19c: Basic SQL"",""Oracle Database 12c: Advanced SQL"",""Azure Database Administrator Associate (DP-300) Cert Prep: 3 High Availability and Disaster Recovery in Azure Data Services""]",https://www.linkedin.com/in/mark-hartley-5b002714,,,
xindi-hao-58595314b,https://www.linkedin.com/in/xindi-hao-58595314b,"[""Creating a Product-Centric Organization"",""Python vs. R for Data Science"",""SAS Programming for R Users, Part 2""]",https://www.linkedin.com/in/xindi-hao-58595314b,,,
pranab-niyogi-cfa-2b395815,https://www.linkedin.com/in/pranab-niyogi-cfa-2b395815,"[""Learning SnowflakeDB"",""Implementing a Data Warehouse SQL Server 2019"",""Transition from Data Science to Data Engineering""]",https://www.linkedin.com/in/pranab-niyogi-cfa-2b395815,,,
jack-massey-73b358a1,https://www.linkedin.com/in/jack-massey-73b358a1,"[""Advanced Google Analytics"",""Python for Marketing"",""Business Analytics: Sales Data""]",https://www.linkedin.com/in/jack-massey-73b358a1,,,
radha-subramanian-b9a9674,https://www.linkedin.com/in/radha-subramanian-b9a9674,"[""Introduction to Analytics Engineering"",""Power BI: Working Together with ChatGPT"",""Introduction to Data Warehouses""]",https://www.linkedin.com/in/radha-subramanian-b9a9674,,,
bryan-moore-243b31144,https://www.linkedin.com/in/bryan-moore-243b31144,"[""Python for Engineers and Scientists"",""Python Functions for Data Science"",""Python for Data Engineering: from Beginner to Advanced""]",https://www.linkedin.com/in/bryan-moore-243b31144,,,
andrewblatter,https://www.linkedin.com/in/andrewblatter,"[""Event Planning Foundations"",""Cert Prep: Certified Analytics Professional (CAP)"",""Introduction to Stata 15""]",https://www.linkedin.com/in/andrewblatter,,,
kennethbrentbowers,https://www.linkedin.com/in/kennethbrentbowers,"[""Oracle Database 12c: Advanced SQL"",""Oracle Database 12c: Security"",""Oracle Autonomous Database Administration Workshop""]",https://www.linkedin.com/in/kennethbrentbowers,,,
aditya-deshpande-1495781b4,https://www.linkedin.com/in/aditya-m-deshpande,"[""Machine Learning and AI Foundations: Classification Modeling"",""Machine Learning and AI Foundations: Recommendations"",""AI and Data Science for SQL Developers: From Beginner to Advanced""]",https://www.linkedin.com/in/aditya-deshpande-1495781b4,,,
yuriymaksimov,https://www.linkedin.com/in/yuriymaksimov,"[""AWS Certified Database – Specialty (DBS-C01) Cert Prep: 1 Introduction and Services"",""Advanced .NET: Commands, C# Enhancements, Web Apps, and Libraries"",""Learning Hadoop""]",https://www.linkedin.com/in/yuriymaksimov,,,
suraj-ravi-61526643,https://www.linkedin.com/in/suraj-ravi-61526643,"[""Excel Modeling Tips and Tricks"",""Regression Analysis Fundamentals"",""Python Statistics Essential Training (2018)""]",https://www.linkedin.com/in/suraj-ravi-61526643,,,
neo-kok,https://www.linkedin.com/in/neo-kok,"[""Machine Learning with Logistic Regression in Excel, R, and Power BI"",""R for Data Science: Analysis and Visualization"",""AI and Data Science for SQL Developers: From Beginner to Advanced""]",https://www.linkedin.com/in/neo-kok,,,
thom-anderson-02849b45,https://www.linkedin.com/in/thomranderson,"[""Azure Data Studio Essential Training"",""Creating a Video Resume"",""Career Advice from Some of the Biggest Names in Business""]",https://www.linkedin.com/in/thom-anderson-02849b45,,,
misrarishabh,https://www.linkedin.com/in/misrarishabh,[],https://www.linkedin.com/in/misrarishabh,,,
nate-wilking-126145250,https://www.linkedin.com/in/nate-wilking-126145250,"[""NLP with Python for Machine Learning Essential Training"",""Hands-On Data Science: 3 Sales Analysis in Python"",""LinkedIn Learning Highlights: Data Science and Analytics""]",https://www.linkedin.com/in/nate-wilking-126145250,,,
ram-chavva-08674948,https://www.linkedin.com/in/ram-chavva,"[""Introduction to Analytics Engineering"",""Learning Hadoop"",""Hiring a Chief Data Officer""]",https://www.linkedin.com/in/ram-chavva-08674948,,,
scott-pischer,https://www.linkedin.com/in/scott-pischer,"[""Oracle Autonomous Database Administration Workshop"",""Designing Database Solutions for SQL Server 2016"",""Oracle Base Database Services Professional Workshop""]",https://www.linkedin.com/in/scott-pischer,,,
sanjay-sachdev,https://www.linkedin.com/in/sanjay-sachdev,"[""Learning Autodesk Forge for AEC and Operations"",""Data Engineering Foundations"",""Data Science on Google Cloud Platform: Exploratory Data Analytics""]",https://www.linkedin.com/in/sanjay-sachdev,,,
ramya-kotaru-8b06ba9b,https://www.linkedin.com/in/ramya-kotaru-8b06ba9b,"[""Implementing a Data Warehouse with SQL Server 2022"",""Power BI Data Modeling with DAX"",""Amazon Web Services: Data Services""]",https://www.linkedin.com/in/ramya-kotaru-8b06ba9b,,,
padmalatha-hari-98981126,https://www.linkedin.com/in/padmalatha-hari-98981126,"[""Azure Database Administrator Associate (DP-300) Cert Prep: 3 High Availability and Disaster Recovery in Azure Data Services"",""Azure Database Administrator Associate (DP-300) Cert Prep: 1 The Azure Data Platform"",""Designing Database Solutions for SQL Server 2016""]",https://www.linkedin.com/in/padmalatha-hari-98981126,,,
chad-nguyen-28b51117b,https://www.linkedin.com/in/chad-nguyen-28b51117b,"[""Red Hat Certified System Administrator (EX200) Cert Prep: 1 Deploy, Configure, and Manage"",""Learning Ubuntu Desktop"",""Kali Linux Essential Training""]",https://www.linkedin.com/in/chad-nguyen-28b51117b,,,
elif-yegenoglu-436b055a,https://www.linkedin.com/in/elif-yegenoglu,"[""Data Analytics for Business Professionals"",""AWS Certified Data Analytics – Specialty (DAS-C01) Cert Prep: 4 Analysis and Visualization"",""Algorithmic Trading and Finance Models with Python, R, and Stata Essential Training""]",https://www.linkedin.com/in/elif-yegenoglu-436b055a,,,
